Topic	No	ID	Sentence	Type	LinkAudio
About me 	2.1	2.1Phon	pli:z əˈlaʊ mi: tu: ˌɪntrəˈdu:s maɪˈsɛlf maɪ neɪm ɪz Minh	Phon	
About me 	2.2	2.2Viet	Cho phép tôi giới thiệu bản thân mình, tôi là Phương.	Viet	
About me 	2.2	2.2Eng	Please allow me to introduce myself, I am Phuong.	Eng	https://luandai123.github.io/English_Daily/1.2.2-Eng.mp3
About me 	2.2	2.2Phon	pli:z əˈlaʊ mi: tu: ˌɪntrəˈdu:s maɪˈsɛlf aɪ æm Phuong	Phon	
About me 	2.3	2.3Viet	Cho phép tôi giới thiệu bạn của tôi, tên của cô ấy là Nhung.	Viet	
About me 	2.3	2.3Eng	Please allow me to introduce my friend, her name is Nhung.	Eng	https://luandai123.github.io/English_Daily/1.2.3-Eng.mp3
About me 	2.3	2.3Phon	pli:z əˈlaʊ mi: tu: ˌɪntrəˈdu:s maɪ frɛnd hɜ:r neɪm ɪz Nhung	Phon	
About me 	2.4	2.4Viet	Cho phép tôi giới thiệu đồng nghiệp của mình, tên anh ấy là Huy.	Viet	
About me 	2.4	2.4Eng	Please allow me to introduce my co-worker, his name is Huy.	Eng	https://luandai123.github.io/English_Daily/1.2.4-Eng.mp3
About me 	2.4	2.4Phon	pli:z əˈlaʊ mi: tu: ˌɪntrəˈdu:s maɪ koʊ ˈwɜ:rkər hɪz neɪm ɪz Huy	Phon	
About me 	3	3Struc	MY... IS..., YOU CAN CALL ME... IN SHORT /Tên,họ … của tôi là..., bạn có thể gọi tôi là…/	Struc	
About me 	3.1	3.1Viet	Họ tên tôi là Nguyễn Văn A, bạn có thể gọi tôi là A.	Viet	
About me 	3.1	3.1Eng	My full name is Nguyen Van A, you can call me A in short.	Eng	https://luandai123.github.io/English_Daily/1.3.1-Eng.mp3
About me 	3.1	3.1Phon	maɪ fʊl neɪm ɪz Nguyen Van A ju: kæn ka:l mi: eɪ ɪn ʃɔ:rt	Phon	
About me 	3.2	3.2Viet	Họ của tôi là Nguyễn, tên của tôi là An, bạn có thể gọi tôi là An nhé!	Viet	
About me 	3.2	3.2Eng	My last name is Nguyen, my first name is An, you can call me An in short.	Eng	https://luandai123.github.io/English_Daily/1.3.2-Eng.mp3
About me 	3.2	3.2Phon	maɪ læst neɪm ɪz Nguyen maɪ fɜ:rst neɪm ɪz An ju: kæn ka:l mi: An ɪn ʃɔ:rt	Phon	
About me 	3.3	3.3Viet	Tên của tôi là An, biệt danh của tôi là Anna, bạn có thể gọi tôi là Anna nhé!	Viet	
About me 	3.3	3.3Eng	My first name is An, my nick name is Anna, you can call me Anna.	Eng	https://luandai123.github.io/English_Daily/1.3.3-Eng.mp3
About me 	3.3	3.3Phon	maɪ fɜ:rst neɪm ɪz An maɪ nɪk neɪm ɪz ˈænə ju: kæn ka:l mi: ˈænə	Phon	
About me 	4	4Struc	I AM + SỐ (YEARS OLD) /Tôi … tuổi/	Struc	
About me 	4.1	4.1Viet	Tôi 32 tuổi.	Viet	
About me 	4.1	4.1Eng	I am thirty two years old.	Eng	https://luandai123.github.io/English_Daily/1.4.1-Eng.mp3
About me 	4.1	4.1Phon	aɪ æm ˈθɜ:rti tu: jɪrz oʊld	Phon	
About me 	4.2	4.2Viet	Tôi hơn 30 rồi.	Viet	
About me 	4.2	4.2Eng	I’m over thirty.	Eng	https://luandai123.github.io/English_Daily/1.4.2-Eng.mp3
About me 	4.2	4.2Phon	aɪm ˈoʊvər ˈθɜ:rti	Phon	
About me 	4.3	4.3Viet	Tôi gần 30 rồi.	Viet	
About me 	4.3	4.3Eng	I’m almost thirty.	Eng	https://luandai123.github.io/English_Daily/1.4.3-Eng.mp3
About me 	4.3	4.3Phon	aɪm ˈaːlmoʊst ˈθɜ:rti	Phon	
About me 	4.4	4.4Viet	Tôi cỡ tuổi bạn.	Viet	
About me 	4.4	4.4Eng	I’m around your age.	Eng	https://luandai123.github.io/English_Daily/1.4.4-Eng.mp3
About me 	4.4	4.4Phon	aɪm əˈraʊnd jʊr eɪʤ	Phon	
About me 	4.5	4.5Viet	Tôi trong khoảng (20-30).	Viet	
About me 	4.5	4.5Eng	I’m in my early twenties.	Eng	https://luandai123.github.io/English_Daily/1.4.5-Eng.mp3
About me 	4.5	4.5Phon	aɪm ɪn maɪ ˈɜ:rli ˈtwɛntiz	Phon	
About me 	4.6	4.6Viet	Tôi trong khoảng (30-40).	Viet	
About me 	4.6	4.6Eng	I’m in my late thirties.	Eng	https://luandai123.github.io/English_Daily/1.4.6-Eng.mp3
About me 	4.6	4.6Phon	aɪm ɪn maɪ leɪt ˈθɜ:rtiz	Phon	
About me 	5	5Struc	I’M FROM + ĐỊA DANH /Tôi đến từ …/	Struc	
About me 	5.1	5.1Viet	Tôi đến từ Việt Nam.	Viet	
About me 	5.1	5.1Eng	I’m from Viet Nam.	Eng	https://luandai123.github.io/English_Daily/1.5.1-Eng.mp3
About me 	5.1	5.1Phon	aɪm frʌm vjetˈnæm	Phon	
About me 	5.2	5.2Viet	Tôi đến từ tỉnh Đồng Nai.	Viet	
About me 	5.2	5.2Eng	I’m from Dong Nai province.	Eng	https://luandai123.github.io/English_Daily/1.5.2-Eng.mp3
About me 	5.2	5.2Phon	aɪm frʌm Dong Nai ˈpra:vɪns	Phon	
About me 	5.3	5.3Viet	Tôi đến từ tỉnh thành phố Hồ Chí Minh.	Viet	
About me 	5.3	5.3Eng	I’m from Ho Chi Minh city.	Eng	https://luandai123.github.io/English_Daily/1.5.3-Eng.mp3
About me 	5.3	5.3Phon	aɪm frʌm HCM ˈsɪti	Phon	
About me 	6	6Struc	I AM + A/AN + TÊN NGHỀ NGHIỆP /Tôi là… (nghề nghiệp)/	Struc	
About me 	6.1	6.1Viet	Tôi là nhân viên văn phòng.	Viet	
About me 	6.1	6.1Eng	I’m an office worker.	Eng	https://luandai123.github.io/English_Daily/1.6.1-Eng.mp3
About me 	6.1	6.1Phon	aɪm ən ˈa:fɪs ˈwɜ:rkər	Phon	
About me 	6.2	6.2Viet	Tôi là sinh viên.	Viet	
About me 	6.2	6.2Eng	I’m a student.	Eng	https://luandai123.github.io/English_Daily/1.6.2-Eng.mp3
About me 	6.2	6.2Phon	aɪm ə ˈstu:dənt	Phon	
About me 	6.3	6.3Viet	Tôi làm nội trợ ở nhà.	Viet	
About me 	6.3	6.3Eng	I am a housewife.	Eng	https://luandai123.github.io/English_Daily/1.6.3-Eng.mp3
About me 	6.3	6.3Phon	aɪ æm ə ˈhaʊswaɪf	Phon	
About me 	6.4	6.4Viet	Tôi đang thất nghiệp.	Viet	
About me 	6.4	6.4Eng	I am jobless.	Eng	https://luandai123.github.io/English_Daily/1.6.4-Eng.mp3
About me 	6.4	6.4Phon	aɪ æm ˈʤa:bləs	Phon	
About me 	6.5	6.5Viet	Tôi đang tìm việc.	Viet	
About me 	6.5	6.5Eng	I am between jobs.	Eng	https://luandai123.github.io/English_Daily/1.6.5-Eng.mp3
About me 	6.5	6.5Phon	aɪ æm bɪˈtwi:n ʤa:bz	Phon	
About me 	6.6	6.6Viet	Tôi ở nhà chăm con.	Viet	
About me 	6.6	6.6Eng	I am a stay-at-home mom.	Eng	https://luandai123.github.io/English_Daily/1.6.6-Eng.mp3
About me 	6.6	6.6Phon	aɪ æm ə steɪ-æt-hoʊm ma:m	Phon	
About me 	6.7	6.7Viet	Tôi tự làm chủ.	Viet	
About me 	6.7	6.7Eng	I am self-employed.	Eng	https://luandai123.github.io/English_Daily/1.6.7-Eng.mp3
About me 	6.7	6.7Phon	aɪ æm sɛlf-ɪmˈplɔɪd	Phon	
About me 	6.8	6.8Viet	Tôi là thực tập sinh.	Viet	
About me 	6.8	6.8Eng	I am a trainee/an intern.	Eng	https://luandai123.github.io/English_Daily/1.6.8-Eng.mp3
About me 	6.8	6.8Phon	aɪ æm ə treɪˈniː/ən ˈɪntɜːrn	Phon	
About me 	7	7Struc	I WORK IN (AT) + NƠI CHỐN, LĨNH VỰC / I WORK FOR + TÊN CÔNG TY /Tôi làm việc trong ngành …/cho công ty…/	Struc	
About me 	7.1	7.1Viet	Tôi làm việc trong ngành Logistic.	Viet	
About me 	7.1	7.1Eng	I work in Logistic.	Eng	https://luandai123.github.io/English_Daily/1.7.1-Eng.mp3
About me 	7.1	7.1Phon	aɪ wɜ:rk ɪn ləˈʤɪstɪk	Phon	
About me 	7.2	7.2Viet	Tôi làm việc trong một công ty quảng cáo.	Viet	
About me 	7.2	7.2Eng	I work in an ad agency.	Eng	https://luandai123.github.io/English_Daily/1.7.2-Eng.mp3
About me 	7.2	7.2Phon	aɪ wɜ:rk ɪn ən æd ˈeɪʤənsi	Phon	
About me 	7.3	7.3Viet	Tôi làm việc cho một công ty xây dựng.	Viet	
About me 	7.3	7.3Eng	I work for a construction company.	Eng	https://luandai123.github.io/English_Daily/1.7.3-Eng.mp3
About me 	7.3	7.3Phon	aɪ wɜ:rk fɔ:r ə kənˈstrʌkʃən ˈkʌmpəni	Phon	
About me 	7.4	7.4Viet	Tôi làm việc cho một ngân hàng.	Viet	
About me 	7.4	7.4Eng	I work for a bank.	Eng	https://luandai123.github.io/English_Daily/1.7.4-Eng.mp3
About me 	7.4	7.4Phon	aɪ wɜ:rk fɔ:r ə bæŋk	Phon	
About me 	7.5	7.5Viet	Tôi làm việc cho một công ty lớn của Việt Nam.	Viet	
About me 	7.5	7.5Eng	I work for a large Vietnamese company.	Eng	https://luandai123.github.io/English_Daily/1.7.5-Eng.mp3
About me 	7.5	7.5Phon	ɪ wɜ:rk fɔ:r ə la:rʤ ˌvjetnəˈmiːz ˈkʌmpəni	Phon	
About me 	7.6	7.6Viet	Tôi làm việc cho một công ty có tên là ABC.	Viet	
About me 	7.6	7.6Eng	I work for a company called ABC.	Eng	https://luandai123.github.io/English_Daily/1.7.6-Eng.mp3
About me 	7.6	7.6Phon	aɪ wɜrk fɔ:r ə ˈkʌmpəni ka:ld eɪ-bi-si	Phon	
About me 	7.7	7.7Viet	Tôi làm việc trong một nhà máy.	Viet	
About me 	7.7	7.7Eng	I work in a factory.	Eng	https://luandai123.github.io/English_Daily/1.7.7-Eng.mp3
About me 	7.7	7.7Phon	aɪ wɜ:rk ɪn ə ˈfæktəri	Phon	
About me 	7.8	7.8Viet	Tôi làm việc trong bộ phận tiếp thị.	Viet	
About me 	7.8	7.8Eng	I work in Marketing department.	Eng	https://luandai123.github.io/English_Daily/1.7.8-Eng.mp3
About me 	7.8	7.8Phon	aɪ wɜ:rk ɪn ˈma:rkɪtɪŋ dɪˈpa:rtmənt	Phon	
About me 	7.9	7.9Viet	Tôi làm việc trong lĩnh vực giáo dục.	Viet	
About me 	7.9	7.9Eng	I work in Education.	Eng	https://luandai123.github.io/English_Daily/1.7.9-Eng.mp3
About me 	7.9	7.9Phon	aɪ wɜ:rk ɪn ˌɛʤəˈkeɪʃən	Phon	
About me 	7.1	7.1Viet	Tôi làm việc tại nhà.	Viet	
About me 	7.1	7.1Eng	I work at home.	Eng	https://luandai123.github.io/English_Daily/1.7.1-Eng.mp3
About me 	7.1	7.1Phon	aɪ wɜ:rk æt hoʊm	Phon	
About me 	7.11	7.11Viet	Tôi làm việc cho gia đình mình.	Viet	
About me 	7.11	7.11Eng	I work for my family.	Eng	https://luandai123.github.io/English_Daily/1.7.11-Eng.mp3
About me 	7.11	7.11Phon	aɪ wɜ:rk fɔ:r maɪ ˈfæməli	Phon	
About me 	8	8Struc	I AM INTERESTED IN/REALLY INTO… /Tôi hứng thú/thích…/	Struc	
About me 	8.1	8.1Viet	Tôi thích thể thao.	Viet	
About me 	8.1	8.1Eng	I am interested in/really into sports.	Eng	https://luandai123.github.io/English_Daily/1.8.1-Eng.mp3
About me 	8.1	8.1Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: spɔ:rts	Phon	
About me 	8.2	8.2Viet	Tôi thích sách.	Viet	
About me 	8.2	8.2Eng	I am interested in/really into books.	Eng	https://luandai123.github.io/English_Daily/1.8.2-Eng.mp3
About me 	8.2	8.2Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: bʊks	Phon	
About me 	8.3	8.3Viet	Tôi thích du lịch.	Viet	
About me 	8.3	8.3Eng	I am interested in/really into traveling.	Eng	https://luandai123.github.io/English_Daily/1.8.3-Eng.mp3
About me 	8.3	8.3Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈtrævəlɪŋ	Phon	
About me 	8.4	8.4Viet	Tôi thích phim ảnh.	Viet	
About me 	8.4	8.4Eng	I am interested in/really into movies.	Eng	https://luandai123.github.io/English_Daily/1.8.4-Eng.mp3
About me 	8.4	8.4Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈmu:viz	Phon	
About me 	8.5	8.5Viet	Tôi thích chơi đá bóng.	Viet	
About me 	8.5	8.5Eng	I am interested in/really into playing soccer.	Eng	https://luandai123.github.io/English_Daily/1.8.5-Eng.mp3
About me 	8.5	8.5Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈpleɪɪŋ ˈsa:kər	Phon	
About me 	8.6	8.6Viet	Tôi thích âm nhạc.	Viet	
About me 	8.6	8.6Eng	I am interested in/really into music.	Eng	https://luandai123.github.io/English_Daily/1.8.6-Eng.mp3
About me 	8.6	8.6Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈmju:zɪk	Phon	
About me 	8.7	8.7Viet	Tôi thích đi mua sắm.	Viet	
About me 	8.7	8.7Eng	I am interested in/really into shopping.	Eng	https://luandai123.github.io/English_Daily/1.8.7-Eng.mp3
About me 	8.7	8.7Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈʃa:pɪŋ	Phon	
About me 	8.8	8.8Viet	Tôi thích lướt web.	Viet	
About me 	8.8	8.8Eng	I am interested in/really into surfing the Internet.	Eng	https://luandai123.github.io/English_Daily/1.8.8-Eng.mp3
About me 	8.8	8.8Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈsɜ:rfɪŋ ði: ˈɪntərnɛt	Phon	
About me 	8.9	8.9Viet	Tôi thích tán gẫu với bạn bè.	Viet	
About me 	8.9	8.9Eng	I am interested in/really into chatting with friends.	Eng	https://luandai123.github.io/English_Daily/1.8.9-Eng.mp3
About me 	8.9	8.9Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈʧætɪŋ wɪð frɛndz	Phon	
About me 	8.1	8.1Viet	Tôi thích hẹn hò với bạn bè.	Viet	
About me 	8.1	8.1Eng	I am interested in/really into hanging out with friends.	Eng	https://luandai123.github.io/English_Daily/1.8.1-Eng.mp3
About me 	8.1	8.1Phon	aɪ æm ˈɪntrəstɪd ɪn/ˈri:əli ˈɪntu: ˈhæŋɪŋ aʊt wɪð frɛndz	Phon	
About me 	9	9Struc	MY FAVORITE + NOUN + IS… /... yêu thích của tôi là…/	Struc	
About me 	9.1	9.1Viet	Màu yêu thích của tôi là màu trắng.	Viet	
About me 	9.1	9.1Eng	My favorite color is white.	Eng	https://luandai123.github.io/English_Daily/1.9.1-Eng.mp3
About me 	9.1	9.1Phon	maɪ ˈfeɪvərɪt ˈkʌlər ɪz waɪt	Phon	
About me 	9.2	9.2Viet	Loại nhạc yêu thích của tôi là nhạc Pop.	Viet	
About me 	9.2	9.2Eng	My favorite kind of music is Pop.	Eng	https://luandai123.github.io/English_Daily/1.9.2-Eng.mp3
About me 	9.2	9.2Phon	maɪ ˈfeɪvərɪt kaɪnd ʌv ˈmju:zɪk ɪz pa:p	Phon	
About me 	9.3	9.3Viet	Nhóm nhạc yêu thích của tôi là Westlife.	Viet	
About me 	9.3	9.3Eng	My favorite band is Westlife.	Eng	https://luandai123.github.io/English_Daily/1.9.3-Eng.mp3
About me 	9.3	9.3Phon	maɪ ˈfeɪvərɪt bænd ɪz westlaɪf	Phon	
About me 	9.4	9.4Viet	Ca sĩ yêu thích của tôi là Taylor Swift.	Viet	
About me 	9.4	9.4Eng	My favorite singer is Taylor Swift.	Eng	https://luandai123.github.io/English_Daily/1.9.4-Eng.mp3
About me 	9.4	9.4Phon	maɪ ˈfeɪvərɪt ˈsɪŋər ɪz ˈteɪlər swɪft	Phon	
About me 	9.5	9.5Viet	Thức ăn yêu thích của tôi là đồ ăn Nhật.	Viet	
About me 	9.5	9.5Eng	My favorite food is Japanese food.	Eng	https://luandai123.github.io/English_Daily/1.9.5-Eng.mp3
About me 	9.5	9.5Phon	maɪ ˈfeɪvərɪt fu:d ɪz ˌʤæpəˈni:z fu:d	Phon	
About me 	9.6	9.6Viet	Đồ uống yêu thích của tôi là trà sữa.	Viet	
About me 	9.6	9.6Eng	My favorite drink is bubble milk tea.	Eng	https://luandai123.github.io/English_Daily/1.9.6-Eng.mp3
About me 	9.6	9.6Phon	maɪ ˈfeɪvərɪt drɪŋk ɪz ˈbʌbəl mɪlk ti:	Phon	
About me 	10	10Struc	THE BEST THING ABOUT ME IS THAT I AM VERY + ADJ /Điều tôi thấy tốt nhất ở mình là tôi rất…/	Struc	
About me 	10.1	10.1Viet	Điều tôi thấy tốt nhất ở mình là tôi rất đáng tin cậy.	Viet	
About me 	10.1	10.1Eng	The best thing about me is that I am very reliable/trustworthy.	Eng	https://luandai123.github.io/English_Daily/1.10.1-Eng.mp3
About me 	10.1	10.1Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri rɪˈlaɪəbəl/ˈtrʌstwɜːrði	Phon	
About me 	10.2	10.2Viet	Điều tôi thấy tốt nhất ở mình là tôi rất kiên nhẫn.	Viet	
About me 	10.2	10.2Eng	The best thing about me is that I am very patient.	Eng	https://luandai123.github.io/English_Daily/1.10.2-Eng.mp3
About me 	10.2	10.2Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˈpeɪʃənt	Phon	
About me 	10.3	10.3Viet	Điều tôi thấy tốt nhất ở mình là tôi rất quyết tâm.	Viet	
About me 	10.3	10.3Eng	The best thing about me is that I am very determined.	Eng	https://luandai123.github.io/English_Daily/1.10.3-Eng.mp3
About me 	10.3	10.3Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri dɪˈtɜ:rmɪnd	Phon	
About me 	10.4	10.4Viet	Điều tôi thấy tốt nhất ở mình là tôi rất hoài bão.	Viet	
About me 	10.4	10.4Eng	The best thing about me is that I am very ambitious.	Eng	https://luandai123.github.io/English_Daily/1.10.4-Eng.mp3
About me 	10.4	10.4Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri æmˈbɪʃəs	Phon	
About me 	10.5	10.5Viet	Điều tôi thấy tốt nhất ở mình là tôi rất kỉ luật.	Viet	
About me 	10.5	10.5Eng	The best thing about me is that I am very disciplined.	Eng	https://luandai123.github.io/English_Daily/1.10.5-Eng.mp3
About me 	10.5	10.5Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˈdɪsəplɪnd	Phon	
About me 	10.6	10.6Viet	Điều tôi thấy tốt nhất ở mình là tôi rất tận tuỵ.	Viet	
About me 	10.6	10.6Eng	The best thing about me is that I am very dedicated.	Eng	https://luandai123.github.io/English_Daily/1.10.6-Eng.mp3
About me 	10.6	10.6Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˈdɛdəkeɪtɪd	Phon	
About me 	10.7	10.7Viet	Điều tôi thấy tốt nhất ở mình là tôi rất chi tiết.	Viet	
About me 	10.7	10.7Eng	The best thing about me is that I am very detail-oriented.	Eng	https://luandai123.github.io/English_Daily/1.10.7-Eng.mp3
About me 	10.7	10.7Phon	ðə bɛst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri dɪˈteɪl-ˈɔ:riɛntɪd	Phon	
About me 	11	11Struc	THE WORST THING ABOUT ME IS THAT I AM VERY + ADJ /Điều tôi thấy bản thân mình dở nhất đó là…/	Struc	
About me 	11.1	11.1Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi rất bướng bỉnh.	Viet	
About me 	11.1	11.1Eng	The worst thing about me is that I am very stubborn.	Eng	https://luandai123.github.io/English_Daily/1.11.1-Eng.mp3
About me 	11.1	11.1Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˈstʌbərn	Phon	
About me 	11.2	11.2Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi rất hấp tấp.	Viet	
About me 	11.2	11.2Eng	The worst thing about me is that I am very impulsive.	Eng	https://luandai123.github.io/English_Daily/1.11.2-Eng.mp3
About me 	11.2	11.2Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ɪmˈpʌlsɪv	Phon	
About me 	11.3	11.3Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi không quả quyết.	Viet	
About me 	11.3	11.3Eng	The worst thing about me is that I am indecisive.	Eng	https://luandai123.github.io/English_Daily/1.11.3-Eng.mp3
About me 	11.3	11.3Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˌɪndɪˈsaɪsɪv	Phon	
About me 	11.4	11.4Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi quá nhạy cảm.	Viet	
About me 	11.4	11.4Eng	The worst thing about me is that I am very sensitive.	Eng	https://luandai123.github.io/English_Daily/1.11.4-Eng.mp3
About me 	11.4	11.4Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˈsɛnsətɪv	Phon	
About me 	11.5	11.5Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi rất độc đoán.	Viet	
About me 	11.5	11.5Eng	The worst thing about me is that I am very overbearing.	Eng	https://luandai123.github.io/English_Daily/1.11.5-Eng.mp3
About me 	11.5	11.5Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ˈvɛri ˌoʊvərˈbɛrɪŋ	Phon	
About me 	11.6	11.6Viet	Điều tôi thấy bản thân mình dở nhất đó là tôi là người hay trì hoãn.	Viet	
About me 	11.6	11.6Eng	The worst thing about me is that I am a procrastinator.	Eng	https://luandai123.github.io/English_Daily/1.11.6-Eng.mp3
About me 	11.6	11.6Phon	ðə wɜ:rst θɪŋ əˈbaʊt mi: ɪz ðæt aɪ æm ə proʊˈkræstəˌneɪtər	Phon	
About me 	12	12Struc	I DISLIKE/HATE + NOUN /Tôi không thích…/	Struc	
About me 	12.1	12.1Viet	Tôi không thích chạy bộ.	Viet	
About me 	12.1	12.1Eng	I dislike running.	Eng	https://luandai123.github.io/English_Daily/1.12.1-Eng.mp3
About me 	12.1	12.1Phon	aɪ dɪˈslaɪk ˈrʌnɪŋ	Phon	
About me 	12.2	12.2Viet	Tôi ghét làm việc nhà.	Viet	
About me 	12.2	12.2Eng	I hate doing the housework.	Eng	https://luandai123.github.io/English_Daily/1.12.2-Eng.mp3
About me 	12.2	12.2Phon	aɪ heɪt ˈdu:ɪŋ ðə ˈhaʊswɜ:rk	Phon	
About me 	12.3	12.3Viet	Tôi không thích nấu ăn.	Viet	
About me 	12.3	12.3Eng	I dislike cooking.	Eng	https://luandai123.github.io/English_Daily/1.12.3-Eng.mp3
About me 	12.3	12.3Phon	aɪ dɪˈslaɪk ˈkʊkɪŋ	Phon	
About me 	12.4	12.4Viet	Tôi ghét phung phí thời gian.	Viet	
About me 	12.4	12.4Eng	I hate wasting time.	Eng	https://luandai123.github.io/English_Daily/1.12.4-Eng.mp3
About me 	12.4	12.4Phon	aɪ heɪt ˈweɪstɪŋ taɪm	Phon	
About me 	12.5	12.5Viet	Tôi không thích tập thể dục.	Viet	
About me 	12.5	12.5Eng	I dislike exercise.	Eng	https://luandai123.github.io/English_Daily/1.12.5-Eng.mp3
About me 	12.5	12.5Phon	aɪ dɪˈslaɪk ˈɛksərˌsaɪz	Phon	
About me 	13	13Struc	MY FAVORITE DAY OF WEEK IS…, BECAUSE… /Ngày yêu thích trong tuần của tôi là …, vì … /	Struc	
About me 	13.1	13.1Viet	Ngày yêu thích trong tuần của tôi là Chủ nhật, vì tôi có thể ngủ dậy trễ.	Viet	
About me 	13.1	13.1Eng	My favorite day of week is Sunday because I can sleep till late.	Eng	https://luandai123.github.io/English_Daily/1.13.1-Eng.mp3
About me 	13.1	13.1Phon	maɪ ˈfeɪvərɪt deɪ ʌv wi:k ɪz ˈsʌndeɪ bɪˈkəz aɪ kæn sli:p tɪl leɪt	Phon	
About me 	13.2	13.2Viet	Ngày yêu thích trong tuần của tôi là thứ 7, vì đó là cuối tuần.	Viet	
About me 	13.2	13.2Eng	My favorite day of week is Saturday because it’s the weekend.	Eng	https://luandai123.github.io/English_Daily/1.13.2-Eng.mp3
